headerImage,Sum of upVotes
https://images.unsplash.com/photo-1497366754035-f200968a6e72?ixid=MXwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHw%3D&ixlib=rb-1.2.1&auto=format&fit=crop&w=1350&q=80,592
https://assets.tryhackme.com/additional/banners/Unified Kill Chain Room-04.png,591
https://tryhackme-images.s3.amazonaws.com/user-uploads/5e73cca6ec4fcf1309f2df86/room-content/38bcf4a18418e9e3e5330e7a7d869e96.png,589
https://assets.tryhackme.com/additional/peheaders/dissecting_pe_headers.png,580
https://media.discordapp.net/attachments/937050619674492980/939892264002535444/cert_service.jpg?width=1900&height=300,569
https://i.imgur.com/egCv6YT.png,563
https://assets.tryhackme.com/additional/banners/Endpoint%20Security%20Monitoring%20banner-01.png,563
https://tryhackme-images.s3.amazonaws.com/user-uploads/62c435d1f4d84a005f5df811/room-content/f34a93c1ae515ca50469bfd861a781f4.png,551
https://assets.tryhackme.com/room-banners/hololive.png,550
https://assets.tryhackme.com/room-banners/marketplace.png,546
https://assets.tryhackme.com/room-banners/pwnkit-bg.png,538
https://i.imgur.com/8PyYQEz.png,536
https://assets.tryhackme.com/additional/banners/webenumeration-banner.png,530
https://assets.tryhackme.com/additional/autopsy/autopsy-room-banner2.png,530
https://tryhackme-images.s3.amazonaws.com/user-uploads/5e8dd9a4a45e18443162feab/room-content/d43ff804dd897ce1b7394eb387e59302.png,521
https://i.imgur.com/2O70ow2.png,517
https://i.imgur.com/Lw4QXO1.jpg,515
https://assets.tryhackme.com/additional/splunk-overview/splunk2-room-banner.png,507
https://assets.tryhackme.com/additional/dirtypipe/banner.png,505
https://i.imgur.com/qKNh2vA.png,502
https://assets.tryhackme.com/room-banners/sigma.png,501
https://i.imgur.com/xP2N1i5.png,497
https://assets.muirlandoracle.co.uk/thm/rooms/sudovulnssamedit/55732d603cf0.png,497
https://i.imgur.com/rqwhSuo.png,496
https://tryhackme-images.s3.amazonaws.com/user-uploads/6131132af49360005df01ae3/room-content/c2cc6be2c76d68126e72ee7a03779ea5.png,495
https://i.imgur.com/52GtMD0.png,485
https://user-images.githubusercontent.com/20302208/70022749-1ad2b080-154a-11ea-9d8c-1b42632fd9f9.jpg,483
